Date,Dove_Bar_Offline_Volume,Dove_Bar_Offline_Average_Price,Dove_Bar_Offline_TDP_Distribution,DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.OOH_ownM_0370,DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.PREROLL_ownM_0370,DOVE.Shampoo_ALL_ALL_ALL_CDS.DIGITAL.ACTIVATION_haloD_0330,DOVE.Shampoo_ALL_ALL_ALL_CDS.SOCIAL_haloD_0330,DOVE_ALL_BAR_OFFLINE.RETAIL_CDP_ownpromo.L2,DOVE_ALL_BAR_OFFLINE.RETAIL_BBP.RT_ownpromo.L2,DOVE_OTHERS_BAR_OFFLINE.RETAIL_TCP.DM_ownpromo.L2,DOVE_OTHERS_BAR_OFFLINE.RETAIL_CPP_ownpromo.L2,DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.OOH_haloM_0370,DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.PREROLL_haloM_0370,SET1.RETAIL,SET1.ONLINE,Safeguard_PW_TV_GRP,Dove_PW_MSP_TV_GRP
44335,51570.488,65.40050096,57,0.0,0.0,0.0,0.0,7955267.35,44434.49,468.5727508,304296.07,835272.0,1702011.26,41.47628106,54.54246284,108.1922108161515,12.061984759723206
44366,73780.864,57.74592854,69,486540.0,1583859.3,0.0,1517622.0,3761997.22,5680947.13,77.69981792,348097.73,1597434.55,1887108.74,39.52436857,56.3424207,27.422441746756466,24.35202839808375
44396,30944.136,68.33213892,60,0.0,0.0,0.0,48770.57,2964586.67,3119483.03,370.1,84405.91,0.0,0.0,41.67812927,55.04718239,127.63251531305494,8.834811823226735
44427,38703.836,67.57380586,55,855729.0,3264811.2,0.0,576172.52,3494455.36,2028908.09,20383.18605,360331.27,0.0,1925062.97,41.03391177,56.64317618,135.08164230380154,29.284158474219886
44458,38422.576,68.69471089,61,0.0,0.0,0.0,1559011.76,4198544.85,4673859.23,1506.69907,384064.31,743583.0,1738286.6,40.62834059,58.39744533,116.2080298951217,10.321495530472006
44488,49796.728,64.86266025,60,2737546.0,4757238.84,400000.0,1469924.33,4399544.88,1874285.28,180.6444114,500133.93,0.0,3728815.75,41.54415464,56.01250374,110.78363113545706,23.928642341349942
44519,46166.304,66.83805574,59,550800.0,2178631.08,0.0,4807890.49,4583810.43,4103292.42,180.1881991,278594.39,1182759.28,3728815.75,41.67309377,47.98761656,110.45501236035096,20.493475434971245
44549,83284.928,55.21204869,60,1111494.0,4366528.66,56250.0,277930.94,4187804.85,4649914.54,285.5718528,590327.56,887441.0,5852107.88,42.28506804,54.45056376,27.459019088514427,33.818199228914445
44216,51111.12,66.51520745,56,0.0,0.0,0.0,249672.4,5276372.51,3242990.03,490.6260744,458127.71,538587.0,2435483.7,42.63120962,53.48114243,9.66740052036973,11.302091170037228
44247,50231.812,65.65956151,51,943704.0,3924235.27,0.0,2224054.41,4951621.54,4419066.77,3172.608024,680368.69,953394.0,3744211.9,42.94905822,52.82696953,4.41853430730317,20.305543264103033
44275,41890.844,70.09672567,50,1061232.0,3820009.96,617692.3,8710677.14,4364937.42,3055290.672,2704.38,663302.55,859379.24,1817186.24,43.26642139,48.50958226,2.4561485008481774,26.157816815112852
44306,39394.628,68.00084519,47,554273.0,3833650.4,842307.7,7507320.21,4117370.39,6929050.918,39806.00749,435169.5,90723.43,1703612.42,42.29279211,43.33622312,1.5812003920578956,25.89940080923122
44336,36385.184,68.27463756,41,0.0,0.0,0.0,313802.52,5747089.13,7406404.52,16156.46251,443313.74,0.0,0.0,42.66371429,49.43179319,1.1364128413422503,9.25258822881282
44367,78855.544,49.64228641,53,512080.0,3811606.62,0.0,401416.19,3315375.72,3724334.55,1726.17,463683.23,0.0,0.0,40.69479588,47.08653954,114.10084547524119,24.83739761944394
44397,40503.232,65.38865219,46,0.0,0.0,70000.0,2046054.06,4276889.97,3150426.09,4999.13,149288.55,0.0,0.0,43.03839957,49.42099289,102.97754216621807,8.966552899326484
44428,52013.652,58.70349673,48,512080.0,3279755.96,20000.0,6417222.12,4436410.91,6448951.29,14414.44,188701.48,858673.33,2683249.8,42.69650463,50.06059353,167.26540545678913,21.610485720066965
44459,35814.756,68.61364629,42,0.0,906344.37,0.0,2618363.37,4089415.12,4475499.446,15355.07,192056.19,0.0,1601328.27,43.70515559,50.76928768,183.45497822149727,8.07782320436541
44489,49257.416,60.95355773,45,0.0,4269262.68,0.0,6260120.372,4806914.85,1008351.674,43293.38,190295.3,648263.0,3578198.19,43.56540918,49.73782361,197.82219524836907,26.517975747457445
44520,44817.264,66.9268934,45,0.0,4062621.94,0.0,7294997.06,4600123.19,1254488.58,11195.42,349905.53,264448.0,1731880.16,43.2802279,41.28508365,204.72166263392984,10.117496296477517
44550,69668.024,57.50478512,46,0.0,0.0,0.0,478396.27,4348124.81,8601564.18,8953.08,313182.86,647196.33,2052089.06,43.23155729,51.76077681,43.61830626297326,4.5719422720800695
