Date,Dove_Core_SGL_Offline_Volume,Dove_Core_SGL_Offline_Average_Price,Dove_Core_SGL_Offline_TDP_Distribution,Dove_Core_SGL_Offline_CPP_Promotion,Dove_Core_SGL_Offline_TCPDM_Promotion,Dove_PW_CDP_Promotion,Dove_Core_BB-Retail_Promotion,Dove_PW_MSP_TV_GRP,Dove_PW_MSP_OOH,Dove_PW_MSP_Pre-roll,Dove_PW_CDS_Digital,Dove_PW_CDS_Social,Dove_Haircare_MSP_OOH,Dove_Haircare_MSP_Pre-roll,Dove_Haircare_CDS_Digital,Dove_Haircare_CDS_Social,Comp_Price_Retail,Comp_Price_EC
44518,1044818.481,43.5267566,705,4209247.9,1631131.86,0,0,75.1810319,1296583.2,1206859.3,0,592240.84,3186215,1188975.47,0,1664489.74,40.81298484,31.58730166
44548,1044079.9,43.78692598,713,5150772.96,1951080.81,3987638.74,0,36.31414784,1172486.6,1163683.3,49112.6,2100515.74,0,0,0,268731.2,40.88644752,41.58393243
44215,1124713.307,43.7628776,716,4718690.01,2074027.63,3889091.87,0,0,937380,0,1000000,592240.84,2764172.34,3855772.16,0,625120.95,40.8135178,44.90351823
44246,1218182.681,44.27320035,724,6074348.21,1936005.17,4165344.52,0,0,937380,0,808420.4,2652553.91,2529902.34,5942711.32,0,5088717.13,41.00938746,44.04921345
44274,1095905.32,43.80622341,701,6299318.24,1716312.89,3953594.31,0,0,593750,0,3600000,3819519.82,474074.37,6236319.48,154827.3,3168204.9,41.80746332,42.18612216
44305,1108574.913,42.1904553,625,6508093.56,1959726.77,3504690.61,0,121.0746626,1791434,3640621.49,48077.62,3227279,1219031.37,4310712.39,50000,4064854.53,41.33922465,39.85462701
44335,1038459.934,41.9495596,577,5871924.37,633427.97,7955267.35,0,0.005211962,0,0,0,0,835272,1702011.26,0,0,42.10965499,43.98687599
44366,1258742.224,39.13254,729,5707356.64,1318968.03,3761997.22,4742504.892,61.5386907,486540,1583859.3,0,1413823.05,1597434.55,1887108.74,0,1517622,38.44144456,51.25318735
44396,644368.106,44.61220995,613,2156641.17,1151690.15,2964586.67,0,0,0,0,0,1413823.05,0,0,0,48770.57,42.80522358,52.31104384
44427,840048.941,41.46578879,570,6170173.33,1461207.54,3494455.36,0,83.63700908,855729,3264811.2,0,2413012.98,0,1925062.97,0,576172.52,41.45277276,53.35206478
44458,821838.867,41.96471259,624,4281191.84,1677974.75,4198544.85,2854928.827,0.509663122,0,0,0,2047044.01,743583,1738286.6,0,1559011.76,40.60913177,48.33388049
44488,963256.378,42.16209143,628,8331894.41,1059144.71,4399544.88,647518.9588,61.21255234,2737546,4757238.84,750000,0,0,3728815.75,400000,1469924.33,40.4390458,49.93173328
44519,971875.025,41.69513679,598,3125457.92,1518159.99,4583810.43,1462510.559,38.13517315,550800,2178631.08,750000,6793339.64,1182759.28,3728815.75,0,4807890.49,40.4017969,47.9030463
44549,968406.626,43.01439682,580,4944607.97,1378416.84,4187804.85,2046799.372,93.9921101,1111494,4366528.66,0,1576171.41,887441,5852107.88,56250,277930.94,40.75150316,49.93660037
44216,1042683.964,43.66609506,568,4543810.8,706072.3,5276372.51,1159182.096,0,0,0,0,2423395.3,538587,2435483.7,0,249672.4,40.90153922,51.83550032
44247,1142393.005,43.33688781,572,9589592.39,1713439.16,4951621.54,3045470.739,46.92041947,943704,3924235.27,0,4264551.7,953394,3744211.9,0,2224054.41,40.68960098,49.50483578
44275,1147413.551,43.58050333,565,4303850.84,1778102.09,4364937.42,1311617.12,62.41974571,1061232,3820009.96,2000000,5634426.65,859379.24,1817186.24,617692.3,8710677.14,41.01131114,46.02463863
44306,1086796.209,41.49944018,523,4684884.57,735764.14,4117370.39,881380.1341,57.00942536,554273,3833650.4,800000,5010944.19,90723.43,1703612.42,842307.7,7507320.21,40.99693506,46.41289441
44336,1003434.466,41.44478235,451,9891874.23,556809.68,5747089.13,7383835.52,0,0,0,0,2138408.01,0,0,0,313802.52,41.57832712,46.97177922
44367,1160546.699,39.96218497,563,7887548.08,1693116.2,3315375.72,0,65.52775415,512080,3811606.62,0,676336.11,0,0,0,401416.19,38.20488407,45.65078014
44397,1033186.958,42.24876557,528,4759485.37,844389.68,4276889.97,0,0,0,0,0,1028640.01,0,0,70000,2046054.06,40.83231939,47.15171605
44428,1283980.288,40.58114634,562,6344580.66,730709.01,4436410.91,0,53.46901608,512080,3279755.96,0,1808108.89,858673.33,2683249.8,20000,6417222.12,40.17461981,51.63488644
44459,945618.225,42.87135061,510,3689749,1012356.13,4089415.12,1050248.01,0,0,906344.37,0,2177204.65,0,1601328.27,0,2618363.37,40.67771801,52.77288453
44489,1015245.332,42.47118646,529,4891732.98,122780.68,4806914.85,4071.67,73.01929549,0,4269262.68,104838.71,2231565.76,648263,3578198.19,0,6260120.372,40.48429991,52.46327849
44520,1092987.694,41.77311629,520,4227722.52,1370849.25,4600123.19,4071.67,1.994041786,0,4062621.94,145161.29,2740658.61,264448,1731880.16,0,7294997.06,40.36834926,47.69623175
44550,1114112.42,43.09642011,520,3936700.88,1537425.98,4348124.81,211967,0,0,0,17706.67,2638972.69,647196.33,2052089.06,0,478396.27,40.49186238,58.05518888
